geomid,naics,workers
87283012bffffff,Education,5.269
87283012bffffff,Energy,0.257
87283012bffffff,Financial,0.396
87283012bffffff,Health,11.446
87283012bffffff,Hospitality,0.492
87283012bffffff,Information,0.238
87283012bffffff,Manufacturing,1.371
87283012bffffff,Professional Service,0.476
87283012bffffff,Public Administration,1.381
87283012bffffff,Real Estate,0.428
87283012bffffff,Retail,0.769
87283012bffffff,Transportation,0.91
87283012bffffff,Wholesale,0.382
87283012cffffff,Art/Culture,13.059
87283012cffffff,Business Support,23.406
87283012cffffff,Construction,31.48
87283012cffffff,Education,58.721
87283012cffffff,Energy,3.029
87283012cffffff,Financial,6.252
87283012cffffff,Health,150.698
87283012cffffff,Hospitality,15.574
87283012cffffff,Information,0.106
87283012cffffff,Manufacturing,13.138
87283012cffffff,Professional Service,9.137
87283012cffffff,Public Administration,21.325
87283012cffffff,Real Estate,10.653
87283012cffffff,Retail,58.361
87283012cffffff,Transportation,68.402
87283012cffffff,Wholesale,27.332
87283012dffffff,Art/Culture,23.585
87283012dffffff,Business Support,50.406
87283012dffffff,Construction,46.4
87283012dffffff,Corporate,0.842
87283012dffffff,Education,88.969
87283012dffffff,Energy,5.507
87283012dffffff,Financial,23.73
87283012dffffff,Health,193.737
87283012dffffff,Hospitality,77.136
87283012dffffff,Information,18.264
87283012dffffff,Manufacturing,11.715
87283012dffffff,Professional Service,43.602
87283012dffffff,Public Administration,23.513
87283012dffffff,Real Estate,19.04
87283012dffffff,Retail,70.776
87283012dffffff,Transportation,68.805
87283012dffffff,Wholesale,16.757
872830130ffffff,Art/Culture,1.299
872830130ffffff,Business Support,18.102
872830130ffffff,Construction,74.291
872830130ffffff,Education,36.43
872830130ffffff,Energy,2.405
872830130ffffff,Financial,5.712
872830130ffffff,Health,63.929
872830130ffffff,Hospitality,4.412
872830130ffffff,Information,4.754
872830130ffffff,Manufacturing,17.858
872830130ffffff,Professional Service,11.664
872830130ffffff,Public Administration,178.541
872830130ffffff,Real Estate,16.573
872830130ffffff,Retail,23.897
872830130ffffff,Transportation,13.901
872830130ffffff,Wholesale,4.188
872830132ffffff,Art/Culture,24.207
872830132ffffff,Business Support,62.811
872830132ffffff,Construction,355.174
872830132ffffff,Corporate,0.4
872830132ffffff,Education,63.572
872830132ffffff,Energy,21.523
872830132ffffff,Financial,20.27
872830132ffffff,Health,121.573
872830132ffffff,Hospitality,117.975
872830132ffffff,Information,11.264
872830132ffffff,Manufacturing,131.019
872830132ffffff,Professional Service,35.161
872830132ffffff,Public Administration,235.449
872830132ffffff,Real Estate,33.37
872830132ffffff,Retail,116.737
872830132ffffff,Transportation,100.836
872830132ffffff,Wholesale,41.163
872830133ffffff,Art/Culture,0.185
872830133ffffff,Business Support,1.888
872830133ffffff,Construction,15.588
872830133ffffff,Corporate,0.028
872830133ffffff,Education,1.433
872830133ffffff,Energy,0.206
872830133ffffff,Financial,0.698
872830133ffffff,Health,2.516
872830133ffffff,Hospitality,0.59
